name,spec,quantity,rate
Survey,,,
Survey,"Site boundary, buildings and structures, features, services, hazards",1,100
Demolish,,1,
Strip out and remove,,1,
Strip out and remove,Bathroom fixtures and fittings,1,450
Strip out and remove,Kitchen fixtures and fittings,1,850
Strip out and remove,Bedroom fixtures and fittings,1,240
Strip out and set aside for re-use by employer,,1,
Strip out and set aside for re-use by employer,External brickwork,1,12
Install temporary works,,1,
Install temporary works,Security hoardings,1,20
Install foundations,,1,
Install foundations,Concrete,1,145
Install foundations,Aggregate,1,125
Install pad foundations,,1,
Install pad foundations,Concrete,1,850
Install pad foundations,Aggregate,1,650
Install insulation below concrete,,1,
Install insulation below concrete,Polystyrene,1,18
Install insulation below concrete,Mineral wool,1,4
Install sub-floor,,1,
Install sub-floor,Concrete,1,22
Install sub-floor,Aggregate,1,18
Install sub-floor,Ribbed bar reinforced,1,
Install sub-floor,Steel fabric reinforced,1,
Install sub-floor,Oversite slabs,1,
Install sub-floor,Precast T-beams with concrete blocks,1,
Install wall underpinning,,1,
Install wall underpinning,Concrete,1,130
Install wall underpinning,Aggregate,1,110
Install damp proof membrane,,1,
Install damp proof membrane,Gas retardant damp proof membrane,1,
Install damp proof membrane,Separating membrane,1,
Install damp proof membrane,Gas venting geomembrane,1,
Install external wall,,,
Install external wall,Brick exterior aerated block interior,1,110
Install external wall,Aerated block exterior and interior,1,90
Install internal wall,,1,
Install internal wall,Aerated blocks,1,27
Install internal wall,Aggragate blocks,1,35
Install internal wall,Common bricks,1,47
Install internal wall,Reclaimed bricks,1,50
Install opening in existing wall,,1,
Install opening in existing wall,Brick exterior aerated block interior,1,240
Install opening in existing wall,Aerated block exterior and interior,1,190
Install opening in existing wall,Aerated blocks,1,120
Install opening in existing wall,Common bricks,1,150
Install opening in existing wall,Reclaimed bricks,1,150
Repoint wall,,1,
Repoint wall,Bucket handle,1,27
Repoint wall,Flush,1,30
Install steel frame,,,
Install steel frame,Lightweight steel,,470
Install steel frame,Hollow steel,,560
Install steel frame,Hot rolled steel,,660
Install steel post,,,
Install steel post,Lightweight steel,,760
Install steel post,Hollow steel,,820
Install steel post,Hot rolled steel,,940
Install steel floor beam,,,
Install steel floor beam,Lightweight steel,,670
Install steel floor beam,Hollow steel,,760
Install steel floor beam,Hot rolled steel,,860
Install steel roof beam,,,
Install steel roof beam,Lightweight steel,,780
Install steel roof beam,Hollow steel,,860
Install steel roof beam,Hot rolled steel,,990
Install timber joist suspended ground floor structure,,,
Install timber joist suspended ground floor structure,Solid timber,,125
Install timber joist suspended ground floor structure,Composite I beam,,135
Install timber joist upper floor structure,,,
Install timber joist upper floor structure,Solid timber,,165
Install timber joist upper floor structure,Composite I beam,,155
Install timber joist ceiling structure,,,
Install timber joist ceiling structure,Solid timber,,175
Install timber joist ceiling structure,Composite I beam,,165
Install timber joist flat roof structure,,,
Install timber joist flat roof structure,Solid timber,,175
Install timber joist flat roof structure,Composite I beam,,165
Install timber common rafter pitched roof structure,,,
Install timber common rafter pitched roof structure,Solid timber,,240
Install timber common rafter pitched roof structure,Composite I beam,,230
Install timber stud internal partition structure,,,
Install timber stud internal partition structure,Solid timber,,60
Install timber stud internal partition structure,Composite I beam,,55
Install new opening in timber floors,,,120
Install new opening in stud partitions,,,25
Install new opening in pitched roofs,,,120
Install wood weatherboarding,,,32
Install plastics weatherboarding,,,28
Install fascia boards,,,22
Install soffit boards,,,22
Install bargeboards,,,22
Install pitched roof covering,,,
Install pitched roof covering,Cement slate,,42
Install pitched roof covering,Natural slate,,45
Install pitched roof covering,Plain tiles,,38
Install pitched roof covering,Single lap tiles,,40
Install cladding,,,
Install cladding,Cement slate,,42
Install cladding,Natural slate,,45
Install cladding,Plain tiles,,38
Install cladding,Single lap tiles,,40
Install bitumen membrane warm flat roof covering,,,
Install single layer polymeric membrane warm flat roof covering,,,
Install zinc sheet or strip roof covering,,,
Install zinc sheet dormer covering,,,
Install flooring,,,
Install flooring,Softwood,,55
Install flooring,Hardwood,,65
Install flooring,Rigid sheet,,32
Install flooring,Rigid sheet with insulation,,45
Install flooring,Laminate,,48
Install softwood board,,,
Install softwood board,Wall,,18
Install softwood board,Ceiling,,22
Install rigid sheet lining,,,
Install rigid sheet lining,Wall,,28
Install windows,,,
Install windows,Casement,,160
Install windows,Sash,,240
Install roof windows,,,
Install roof windows,Flat,,180
Install external doors,,,
Install external doors,PVCu,,220
Install external doors,Wood,,240
Install external doors,Steel,,280
Install garage doors,,,
Install patio doors,,,
Install internal doors,,,
Install internal stairs,,,
Install plasterboard backings,,,
Install plasterboard backings,Standard,,28
Install plasterboard backings,Moisture resistant,,40
Install plasterboard backings to ceilings,,,
Install plasterboard backings to ceilings,Standard,,30
Install plasterboard backings to ceilings,Moisture resistant,,42
Install plasterboard dry lining on metal studs,,,
Install plasterboard dry lining on metal studs,Standard,,28
Install plasterboard dry lining on metal studs,Moisture resistant,,40
Install plasterboard dry lining direct to masonry,,,
Install plasterboard dry lining direct to masonry,Standard,,28
Install plasterboard dry lining direct to masonry,Moisture resistant,,40
Install gypsum plaster coatings to plasterboard backings,,,
Install gypsum plaster coatings to plasterboard backings,Bond,,12
Install gypsum plaster coatings to plasterboard backings,Skim,,12
Install gypsum plaster coatings to plasterboard backings,Bond and skim,,24
Install gypsum plaster coatings to masonry,,,
Install gypsum plaster coatings to masonry,Bond,,12
Install gypsum plaster coatings to masonry,Skim,,12
Install gypsum plaster coatings to masonry,Bond and skim,,24
Install metal lathing with plaster finish,,,
Install metal lathing with plaster finish,Bond,,12
Install metal lathing with plaster finish,Skim,,12
Install metal lathing with plaster finish,Bond and skim,,24
Install render coatings to external masonry,,,
Install render coatings on metal lathing,,,
Install render coatings to internal masonry,,,
Install levelling screeds,,,
Install levelling screeds,Bonded,,28
Install levelling screeds,Unbonded,,24
Install levelling screeds,Floating,,32
Install carpet,,,
Install carpet,Without underlay,,8
Install carpet,With underlay,,16
Install flexible sheeting to floors,,,
Install flexible sheeting to floors,Lino,,8
Install flexible sheeting to floors,PVC,,10
Install flexible tiling to floors,,,
Install flexible tiling to floors,Cork,,8
Install flexible tiling to floors,Lino,,8
Install flexible tiling to floors,PVC,,10
Install rigid tiling to floors,,,
Install rigid tiling to floors,Ceramic,,45
Install rigid tiling to floors,Stone,,60
Install rigid tiling to walls,,,
Install rigid tiling to walls,Ceramic,,45
Install rigid tiling to walls,Stone,,60
Install papering to walls,,,
Install papering to walls,Lining paper,,8
Install papering to walls,Wall paper,,12
Install coating systems to plastered walls,,,
Install coating systems to plastered walls,Emulsion,,12
Install coating systems to plastered ceilings,,,
Install coating systems to plastered ceilings,Emulsion,,12
Install coating systems to concrete floors,,,
Install coating systems to concrete floors,Floor paint,,8
Install coating systems to wood floors,,,
Install coating systems to wood floors,Varnish,,12
Install coating systems to wood floors,Wax,,14
Install coating systems to wood trim,,,
Install coating systems to wood trim,Gloss,,18
Install coating systems to wood trim,Eggshell,,18
Install coating systems to wood trim,Varnish,,14
Install coating systems to wood trim,Wood stain,,14
Install coating systems to internal doors and frames,,,
Install coating systems to internal doors and frames,Gloss,,60
Install coating systems to internal doors and frames,Eggshell,,60
Install coating systems to internal doors and frames,Varnish,,50
Install coating systems to internal doors and frames,Wood stain,,50
Install coating systems to windows internally,,,
Install coating systems to windows internally,Gloss,,240
Install coating systems to windows internally,Eggshell,,240
Install coating systems to windows internally,Varnish,,180
Install coating systems to windows internally,Wood stain,,180
Install coating systems to external doors and frames,,,
Install coating systems to external doors and frames,Gloss,,60
Install coating systems to external doors and frames,Eggshell,,60
Install coating systems to external doors and frames,Varnish,,50
Install coating systems to external doors and frames,Wood stain,,50
Install coating systems to windows externally,,,
Install coating systems to windows externally,Gloss,,60
Install coating systems to windows externally,Eggshell,,60
Install coating systems to windows externally,Varnish,,50
Install coating systems to windows externally,Wood stain,,50
Install coating systems to fascias and bargeboards,,,
Install coating systems to fascias and bargeboards,Exterior gloss,,18
Install coating systems to fascias and bargeboards,Eggshell,,18
Install coating systems to fascias and bargeboards,Varnish,,14
Install coating systems to fascias and bargeboards,Wood stain,,14
Install coating systems to gutters and downpipes,,,
Install coating systems to gutters and downpipes,Exterior gloss,,18
Install coating systems to external walls,,,
Install coating systems to external walls,Masonry paint,,12
Install window coverings,,,
Install window coverings,Curtain rails,,80
Install window coverings,Curtain poles,,60
Install fireplaces,,,
Install built in furniture,,,
Install built in furniture,Bookcase,,800
Install built in furniture,Shelves,,180
Install built in furniture,Cupboard,,910
Install built in furniture,Wardrobe,,1100
Install kitchen units,,,
Install kitchen units,Island,,140
Install kitchen units,Base,,120
Install kitchen units,Wall mounted,,90
Install kitchen worktop,,,
Install kitchen worktop,Laminate,,120
Install kitchen worktop,Stone,,280
Install kitchen worktop,Wood,,180
Install kitchen sink,,,
Install kitchen sink,Ceramic,,140
Install kitchen taps,,,
Install kitchen taps,Single,,50
Install kitchen taps,Double,,60
Install cooked hood,,,
Install cooked hood,Vented,,140
Install cooked hood,Unvented,,40
Install dishwasher,,,
Install dishwasher,Single non-integrated,,115
Install freezer,,,
Install freezer,Single non-integrated,,60
Install hob,,,
Install hob,Gas,,100
Install hob,Electric,,90
Install oven,,,
Install oven,Gas,,120
Install oven,Electric,,100
Install refrigerator,,,
Install refrigerator,Double non-integrated,,60
Install refrigerator,Single non-integrated,,40
Install washing machine,,,
Install washing machine,Plumbed,,110
Install washing machine,Non-plumbed,,80
Install bath,,,
Install bath,Metal,,280
Install bath,Acrylic,,220
Install bath taps,,,
Install bath taps,Single,,60
Install bath taps,Double,,70
Install bath panels,,,
Install bath panels,Bespoke,,240
Install bath panels,Package,,90
Install shower head,,,
Install shower head,Integrated,,90
Install shower head,Non-integrated,,30
Install shower mixer,,,
Install shower mixer,Integrated,,280
Install shower mixer,Non-integrated,,140
Install shower tray,,,
Install shower tray,Raised,,240
Install shower tray,Flat,,320
Install shower enclosure,,,
Install shower enclosure,Two sided,,120
Install shower enclosure,Three sided,,180
Install shower curtain and rail,,,
Install shower curtain and rail,Above bath,,80
Install bathroom sink,,,
Install bathroom sink taps,,,
Install bathroom sink taps,Single mixer,,60
Install bathroom sink taps,Double mixer,,70
Install toilet,,,
Install toilet,Close coupled,,180
Install vanity unit,,,
Install mirror,,,
Install in situ concrete pavings,,,
Install asphalt concrete pavings,,,
Install interlocking unit pavings,,,
Install interlocking unit pavings,Clay,,40
Install interlocking unit pavings,Concrete,,35
Install hard binding gravel pavings,,,
"Install brick, flag and slab mortar bedded pavings",,,
"Install brick, flag and slab mortar bedded pavings",Clay brick,,40
"Install brick, flag and slab mortar bedded pavings",Concrete block,,35
"Install brick, flag and slab mortar bedded pavings",Concrete flags,,40
"Install brick, flag and slab mortar bedded pavings",Stone slabs,,45
Install brick or block permeable sand bedded pavings,,,
Install brick or block permeable sand bedded pavings,Clay brick,,35
Install brick or block permeable sand bedded pavings,Concrete block,,30
Install gravel pavings,,,
"Install brick, flag and slab surfaced steps",,,
"Install brick, flag and slab surfaced steps",Clay brick,,120
"Install brick, flag and slab surfaced steps",Concrete block,,90
"Install brick, flag and slab surfaced steps",Concrete flags,,120
"Install brick, flag and slab surfaced steps",Stone slabs,,140
Install metal fencing,,,
Install metal fencing,Chain link,,90
Install metal fencing,Vertical bar,,140
Install wood fencing,,,
Install wood fencing,Close boarded wood,,60
Install wood fencing,Wood palisade,,120
Install masonry freestanding walls,,,
Install masonry freestanding walls,Concrete blocks,,30
Install masonry freestanding walls,Clay bricks,,38
Install masonry freestanding walls,Reclaimed bricks,,38
Install masonry piers,,,
Install masonry piers,Concrete blocks,,30
Install masonry piers,Clay bricks,,38
Install masonry piers,Reclaimed bricks,,38
Install pedestrian gates,,,
Install pedestrian gates,Metal,,440
Install pedestrian gates,Wood,,320
Install vehicular gates,,,
Install vehicular gates,Metal,,1100
Install vehicular gates,Wood,,865
Install prefabricated conservatory,,,
Install prefabricated garage,,,
Install prefabricated porch,,,
Install timber decking,,,
Install topsoil,,,
Install tree,,,
Install shrub,,,
Install flowers,,,
Install turf,,,
Install grass seed,,,
Install green roof,,,
Install eaves rainwater drainage,,,
Install eaves rainwater drainage,Alluminium,,20
Install eaves rainwater drainage,Cast iron,,24
Install eaves rainwater drainage,PVC-U,,14
Install internal rainwater drainage,,,
Install internal rainwater drainage,PVC-U,,14
Install rainwater harvesting,,,
Install threshold rainwater drainage,,,
Install internal branch discharge pipework for bath,,,
Install internal branch discharge pipework for shower,,,
Install internal branch discharge pipework for sink,,,
Install internal branch discharge pipework for toilet,,,
Install external discharge stacks and branches,,,
Install external discharge stacks and branches,WC,,120
Install external discharge stacks and branches,Non-WC,,80
Install internal discharge stacks,,,
Install internal discharge stacks,WC,,120
Install internal discharge stacks,Non-WC,,80
Install foul drainage pipework,,,
Install foul drainage pipework,Plastic,,70
Install foul drainage pipework,Clay,,90
Install surface water drainage pipework,,,
Install surface water drainage pipework,Plastic,,70
Install surface water drainage pipework,Clay,,90
Install subsoil drainage pipework,,,
Install subsoil drainage pipework,Plastic,,70
Install subsoil drainage pipework,Clay,,90
Install inspection chamber,,,
Install manhole,,,
Install septic tank systems,,,
Install sewage treatment system,,,
Install drainage fields,,,
Install soakaways,,,
Install outfalls to watercourses or swales,,,
Install water distribution pipework,,,
Install water distribution heat sources,,,
Install water distribution heat sources,Boiler,,750
Install water distribution heat sources,Pump,,140
Install water distribution heat sources,Solar,,
Install water distribution storage,Feed and expansion cysterns,,
Install water distribution storage,Hot water storage cylinders,,
Install domestic sprinkler systems,,,
Install mains gas supply,,,
Install mains gas distribution,,,
Install liquid fuel storage and distribution,,,
Install heat sources for hot water central heating system,,,
Install heat sources for hot water central heating system,Gas,,620
Install heat sources for hot water central heating system,Gas combi,,750
Install heat sources for hot water central heating system,LPG,,620
Install heat sources for hot water central heating system,LPG combi,,750
Install heat sources for hot water central heating system,Oil,,810
Install heat sources for hot water central heating system,Oil combi,,1100
Install pipework and heat emitters for hot water central heating system,,,
Install pipework and heat emitters for hot water central heating system,Convectors,,120
Install pipework and heat emitters for hot water central heating system,Radiators,,180
Install pipework and heat emitters for hot water central heating system,Towel rail,,160
Install underfloor hot water central heating system,,,
Install underfloor hot water central heating system,Plumbed in,,140
Install local heating systems,,,
Install local heating systems,Gas fire,,230
Install local heating systems,Wood burning stove,,240
Install bathroom intermittent mechanical ventilation,,,
Install bathroom intermittent mechanical ventilation,Ceiling,,140
Install bathroom intermittent mechanical ventilation,In-line,,220
Install bathroom intermittent mechanical ventilation,Wall,,140
Install background ventilation,,,
Install passive stack ventilation component based system,,,
Install passive stack ventilation proprietary system,,,
Install electrical supply,,,
Install consumer unit,,,
Install consumer unit,12 Fuse,,320
Install power circuit,,,
Install power socket,,,
Install power socket,Single,,70
Install power socket,Double,,75
Install lighting circuit,,,
Install light,,,
Install light,Pendant,,45
Install light,Down,,55
Install light,Spot,,45
Install television distribution,,,
Install fire detection and alarm,,,
Install intruder alarm,,,
